#X	Y	log2	log10
510247	11	3.45943	1.04139
510253	11	3.45943	1.04139
510271	13	3.70044	1.11394
510287	12	3.58496	1.07918
510299	12	3.58496	1.07918
510311	12	3.58496	1.07918
510319	13	3.70044	1.11394
510331	13	3.70044	1.11394
510361	11	3.45943	1.04139
510379	12	3.58496	1.07918
510383	13	3.70044	1.11394
510401	10	3.32193	1
510403	11	3.45943	1.04139
510449	12	3.58496	1.07918
510451	13	3.70044	1.11394
510457	13	3.70044	1.11394
510463	15	3.90689	1.17609
510481	9	3.16993	0.954243
510529	9	3.16993	0.954243
510551	12	3.58496	1.07918
510553	11	3.45943	1.04139
510569	11	3.45943	1.04139
510581	12	3.58496	1.07918
510583	13	3.70044	1.11394
510589	13	3.70044	1.11394
510611	11	3.45943	1.04139
510613	11	3.45943	1.04139
510617	11	3.45943	1.04139
510619	12	3.58496	1.07918
510677	12	3.58496	1.07918
510683	13	3.70044	1.11394
510691	12	3.58496	1.07918
510707	13	3.70044	1.11394
510709	13	3.70044	1.11394
510751	13	3.70044	1.11394
510767	13	3.70044	1.11394
510773	12	3.58496	1.07918
510793	11	3.45943	1.04139
510803	12	3.58496	1.07918
510817	11	3.45943	1.04139
510823	13	3.70044	1.11394
510827	13	3.70044	1.11394
510847	15	3.90689	1.17609
510889	12	3.58496	1.07918
510907	14	3.80735	1.14613
510919	13	3.70044	1.11394
510931	13	3.70044	1.11394
510941	14	3.80735	1.14613
510943	15	3.90689	1.17609
510989	10	3.32193	1
511001	10	3.32193	1
511013	10	3.32193	1
511019	11	3.45943	1.04139
511033	11	3.45943	1.04139
511039	13	3.70044	1.11394
511057	10	3.32193	1
511061	11	3.45943	1.04139
511087	13	3.70044	1.11394
511109	10	3.32193	1
511111	11	3.45943	1.04139
511123	11	3.45943	1.04139
511151	13	3.70044	1.11394
511153	11	3.45943	1.04139
511163	13	3.70044	1.11394
511169	10	3.32193	1
511171	11	3.45943	1.04139
511177	11	3.45943	1.04139
511193	12	3.58496	1.07918
511201	11	3.45943	1.04139
511211	13	3.70044	1.11394
511213	13	3.70044	1.11394
511223	14	3.80735	1.14613
511237	10	3.32193	1
511243	11	3.45943	1.04139
511261	12	3.58496	1.07918
511279	13	3.70044	1.11394
511289	12	3.58496	1.07918
511297	10	3.32193	1
511327	14	3.80735	1.14613
511333	12	3.58496	1.07918
511337	12	3.58496	1.07918
511351	14	3.80735	1.14613
511361	10	3.32193	1
511387	13	3.70044	1.11394
511391	14	3.80735	1.14613
511409	12	3.58496	1.07918
511417	13	3.70044	1.11394
511439	14	3.80735	1.14613
511447	14	3.80735	1.14613
511453	14	3.80735	1.14613
511457	12	3.58496	1.07918
511463	14	3.80735	1.14613
511477	14	3.80735	1.14613
511487	16	4	1.20412
511507	11	3.45943	1.04139
511519	13	3.70044	1.11394
511523	11	3.45943	1.04139
511541	12	3.58496	1.07918
511549	13	3.70044	1.11394
511559	12	3.58496	1.07918
511573	12	3.58496	1.07918
511579	13	3.70044	1.11394
511583	14	3.80735	1.14613
511591	13	3.70044	1.11394
511603	13	3.70044	1.11394
511627	12	3.58496	1.07918
511631	13	3.70044	1.11394
511633	11	3.45943	1.04139
511669	13	3.70044	1.11394
511691	13	3.70044	1.11394
511703	14	3.80735	1.14613
511711	15	3.90689	1.17609
511723	14	3.80735	1.14613
511757	12	3.58496	1.07918
511787	13	3.70044	1.11394
511793	12	3.58496	1.07918
511801	13	3.70044	1.11394
511811	12	3.58496	1.07918
511831	14	3.80735	1.14613
511843	13	3.70044	1.11394
511859	14	3.80735	1.14613
511867	15	3.90689	1.17609
511873	11	3.45943	1.04139
511891	13	3.70044	1.11394
511897	13	3.70044	1.11394
511909	13	3.70044	1.11394
511933	15	3.90689	1.17609
511939	13	3.70044	1.11394
511961	14	3.80735	1.14613
511963	15	3.90689	1.17609
511991	16	4	1.20412
511997	16	4	1.20412
512009	8	3	0.90309
512011	9	3.16993	0.954243
512021	9	3.16993	0.954243
512047	11	3.45943	1.04139
512059	11	3.45943	1.04139
512093	11	3.45943	1.04139
512101	10	3.32193	1
512137	9	3.16993	0.954243
512147	10	3.32193	1
512167	11	3.45943	1.04139
512207	12	3.58496	1.07918
512249	12	3.58496	1.07918
512251	13	3.70044	1.11394
512269	10	3.32193	1
512287	12	3.58496	1.07918
512311	12	3.58496	1.07918
512321	9	3.16993	0.954243
512333	11	3.45943	1.04139
512353	10	3.32193	1
512389	10	3.32193	1
512419	11	3.45943	1.04139
512429	12	3.58496	1.07918
512443	13	3.70044	1.11394
512467	12	3.58496	1.07918
512497	12	3.58496	1.07918
512503	14	3.80735	1.14613
512507	14	3.80735	1.14613
512521	9	3.16993	0.954243
512531	10	3.32193	1
512537	10	3.32193	1
512543	12	3.58496	1.07918
512569	11	3.45943	1.04139
512573	12	3.58496	1.07918
512579	10	3.32193	1
512581	10	3.32193	1
512591	12	3.58496	1.07918
512593	10	3.32193	1
512597	11	3.45943	1.04139
512609	10	3.32193	1
512621	12	3.58496	1.07918
512641	9	3.16993	0.954243
512657	10	3.32193	1
512663	12	3.58496	1.07918
512671	13	3.70044	1.11394
512683	12	3.58496	1.07918
512711	12	3.58496	1.07918
512713	11	3.45943	1.04139
512717	12	3.58496	1.07918
512741	12	3.58496	1.07918
512747	13	3.70044	1.11394
512761	13	3.70044	1.11394
512767	15	3.90689	1.17609
512779	11	3.45943	1.04139
512797	12	3.58496	1.07918
512803	11	3.45943	1.04139
512819	12	3.58496	1.07918
512821	12	3.58496	1.07918
512843	12	3.58496	1.07918
512849	11	3.45943	1.04139
512891	14	3.80735	1.14613
512899	11	3.45943	1.04139
512903	12	3.58496	1.07918
512917	12	3.58496	1.07918
512921	12	3.58496	1.07918
512927	14	3.80735	1.14613
512929	11	3.45943	1.04139
512959	15	3.90689	1.17609
512977	12	3.58496	1.07918
512989	14	3.80735	1.14613
512999	14	3.80735	1.14613
513001	13	3.70044	1.11394
513013	14	3.80735	1.14613
513017	14	3.80735	1.14613
513031	10	3.32193	1
513041	9	3.16993	0.954243
513047	11	3.45943	1.04139
513053	11	3.45943	1.04139
513059	10	3.32193	1
513067	11	3.45943	1.04139
513083	12	3.58496	1.07918
513101	11	3.45943	1.04139
513103	12	3.58496	1.07918
513109	11	3.45943	1.04139
513131	12	3.58496	1.07918
513137	11	3.45943	1.04139
513157	10	3.32193	1
513167	12	3.58496	1.07918
513169	10	3.32193	1
513173	11	3.45943	1.04139
513203	12	3.58496	1.07918
513239	13	3.70044	1.11394
513257	12	3.58496	1.07918
513269	13	3.70044	1.11394
513277	14	3.80735	1.14613
513283	10	3.32193	1
513307	12	3.58496	1.07918
513311	13	3.70044	1.11394
513313	10	3.32193	1
513319	12	3.58496	1.07918
513341	13	3.70044	1.11394
513347	11	3.45943	1.04139
513353	11	3.45943	1.04139
513367	13	3.70044	1.11394
513371	13	3.70044	1.11394
513397	13	3.70044	1.11394
513407	15	3.90689	1.17609
